,,,,,,
,sz399804,中证体育,sh000986,全指能源,sh000032,上证能源
,sz399808,中证新能,sh000987,全指材料,sh000033,上证材料
,sz399928,中证能源,sh000989,全指可选,sh000034,上证工业
,sz399932,中证消费,sh000990,全指消费,sh000035,上证可选
,sz399933,中证医药,sh000991,全指医药,sh000036,上证消费
,sz399934,中证金融,sh000992,全指金融,sh000037,上证医药
,sz399935,中证信息,sh000993,全指信息,sh000038,上证金融
,sz399813,中证国安,sh000058,全指价值,sh000039,上证信息
,sz399967,中证军工,sh000057,全指成长,sh000040,上证电信
,sz399971,中证传媒,,,sh000041,上证公用
,sz399986,中证银行,,,sh000042,上证央企
,sz399987,中证酒,,,sh000044,上证中盘
,sz399997,中证白酒,,,sh000045,上证小盘
,sz399998,中证煤炭,,,sh000046,上证中小
,sz399989,中证医疗,,,sh000049,上证民企
,sz399973,中证国防,,,sh000054,上证海外
,sh000827,中证环保,,,sh000055,上证地企
,sh000832,中证转债,,,sh000056,上证国企
,sh000833,中高企债,,,sh000062,上证沪企
,sh000922,中证红利,,,sh000063,上证周期
,sh000928,中证能源,,,sh000065,上证龙头
,sh000931,中证可选,,,sh000066,上证商品
,sh000932,中证消费,,,sh000067,上证新兴
,sh000933,中证医药,,,sh000068,上证资源
,sh000934,中证金融,,,sh000090,上证流通
,sh000935,中证信息,,,sh000131,上证高新
,sh000964,中证新兴,,,sh000134,上证银行
,sz399814,大农业,,,sh000139,上证转债
,930606,中证钢铁,,,sh000158,上证环保
,399995,中证基建,,,,
,931008,中证全指汽车,,,,
